filename,clsname
leather/train/good/192.png,leather
leather/test/glue/009.png,leather
leather/train/good/127.png,leather
leather/train/good/090.png,leather
leather/train/good/060.png,leather
leather/train/good/200.png,leather
leather/train/good/006.png,leather
leather/train/good/009.png,leather
leather/train/good/109.png,leather
leather/train/good/158.png,leather
leather/train/good/146.png,leather
leather/train/good/174.png,leather
leather/train/good/112.png,leather
leather/train/good/143.png,leather
leather/train/good/067.png,leather
leather/train/good/094.png,leather
leather/train/good/215.png,leather
leather/train/good/028.png,leather
leather/train/good/179.png,leather
leather/train/good/151.png,leather
leather/train/good/155.png,leather
leather/train/good/191.png,leather
leather/train/good/197.png,leather
leather/train/good/171.png,leather
leather/train/good/023.png,leather
leather/train/good/177.png,leather
leather/train/good/030.png,leather
leather/train/good/053.png,leather
leather/train/good/044.png,leather
leather/train/good/119.png,leather
leather/train/good/103.png,leather
leather/train/good/036.png,leather
leather/train/good/130.png,leather
leather/train/good/202.png,leather
leather/train/good/063.png,leather
leather/train/good/047.png,leather
leather/train/good/104.png,leather
leather/train/good/088.png,leather
leather/train/good/085.png,leather
leather/train/good/041.png,leather
leather/train/good/206.png,leather
leather/train/good/120.png,leather
leather/train/good/176.png,leather
leather/train/good/003.png,leather
leather/test/cut/001.png,leather
leather/train/good/092.png,leather
leather/train/good/021.png,leather
leather/train/good/010.png,leather
leather/train/good/157.png,leather
leather/test/color/003.png,leather
leather/train/good/240.png,leather
leather/train/good/106.png,leather
leather/train/good/173.png,leather
leather/train/good/208.png,leather
leather/train/good/198.png,leather
leather/train/good/187.png,leather
leather/train/good/058.png,leather
leather/train/good/225.png,leather
leather/train/good/154.png,leather
leather/train/good/139.png,leather
leather/train/good/039.png,leather
leather/test/fold/004.png,leather
leather/train/good/025.png,leather
leather/train/good/018.png,leather
leather/train/good/218.png,leather
leather/train/good/182.png,leather
leather/train/good/220.png,leather
leather/train/good/114.png,leather
leather/train/good/065.png,leather
leather/train/good/031.png,leather
leather/train/good/222.png,leather
leather/train/good/135.png,leather
